Experiment Name	Epoch	EpRet	TestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LogPi	LossPi	LossQ	std	Time
ant_mop_r0_a1_1	93	0.0	0.0	3111.0	5000.0	929999	2394.099	2394.1006	-3.265735	-2397.4543	1423.2677	0.6962068	30556.965540647507
ant_mop_r0_a1_1	94	0.0	0.0	4893.6665	5000.0	939999	2399.6116	2399.6113	-3.2730248	-2403.0745	1396.9176	0.6948741	30881.57660627365
ant_mop_r0_a1_1	95	0.0	0.0	2602.0	5000.0	949999	2408.4216	2408.421	-3.323659	-2411.7925	1452.5149	0.69870967	31209.601339817047
ant_mop_r0_a1_1	96	0.0	0.0	4678.0	5000.0	959999	2417.0115	2417.0076	-3.322315	-2420.4807	1396.879	0.6991865	31532.060354709625
ant_mop_r0_a1_1	97	0.0	0.0	2933.0	5000.0	969999	2426.6436	2426.644	-3.38593	-2429.986	1420.9034	0.7021302	31851.674957036972
ant_mop_r0_a1_1	98	0.0	0.0	5000.0	5000.0	979999	2432.7605	2432.7598	-3.3293293	-2436.0815	1477.6475	0.69762087	32170.047414064407
ant_mop_r0_a1_1	99	0.0	0.0	3580.5	5000.0	989999	2436.8992	2436.8992	-3.2830453	-2440.2988	1419.341	0.6969888	32490.597043275833
ant_mop_r0_a1_1	100	0.0	0.0	4555.0	5000.0	999999	2443.3	2443.2993	-3.352802	-2446.6306	1453.5042	0.6971276	32818.110476732254
ant_mop_r0_a1_1	101	0.0	0.0	5000.0	5000.0	1009999	2449.238	2449.2368	-3.3138034	-2452.4607	1354.2836	0.6947544	33144.41427183151
ant_mop_r0_a1_1	102	0.0	0.0	3418.6667	5000.0	1019999	2457.2007	2457.202	-3.4047816	-2460.1997	1208.1897	0.7035532	33468.30550408363
ant_mop_r0_a1_1	103	0.0	0.0	3428.3333	5000.0	1029999	2468.7544	2468.7568	-3.3906212	-2471.6245	1144.0844	0.702321	33793.22373890877
ant_mop_r0_a1_1	104	0.0	0.0	5000.0	5000.0	1039999	2481.6167	2481.618	-3.4787843	-2484.5083	1030.6384	0.70712286	34114.67332649231
ant_mop_r0_a1_1	105	0.0	0.0	3839.5	5000.0	1049999	2493.2544	2493.2551	-3.5304468	-2496.1	1006.1389	0.7063675	34438.20514512062
ant_mop_r0_a1_1	106	0.0	0.0	2693.3333	5000.0	1059999	2505.6418	2505.6404	-3.5587268	-2508.4336	999.7614	0.705629	34766.16406536102
ant_mop_r0_a1_1	107	0.0	0.0	2800.5	5000.0	1069999	2520.7869	2520.7861	-3.631312	-2523.6577	947.8354	0.714759	35088.05128502846
ant_mop_r0_a1_1	108	0.0	0.0	3353.3333	5000.0	1079999	2533.526	2533.526	-3.664	-2536.377	948.7239	0.7161892	35406.76888370514
ant_mop_r0_a1_1	109	0.0	0.0	2842.75	5000.0	1089999	2546.856	2546.8582	-3.6748893	-2549.7068	908.2745	0.71467394	35724.60758113861
ant_mop_r0_a1_1	110	0.0	0.0	2436.3333	5000.0	1099999	2559.1584	2559.158	-3.6629827	-2561.9749	934.6791	0.7132134	36044.84255075455
ant_mop_r0_a1_1	111	0.0	0.0	5000.0	5000.0	1109999	2573.5518	2573.5525	-3.6926277	-2576.4207	836.5795	0.71878624	36372.62581372261
ant_mop_r0_a1_1	112	0.0	0.0	4569.0	5000.0	1119999	2587.98	2587.9807	-3.845135	-2590.8323	891.7906	0.7237074	36702.5435461998
ant_mop_r0_a1_1	113	0.0	0.0	1733.3334	5000.0	1129999	2605.927	2605.9268	-3.8746233	-2608.8777	777.2576	0.7263255	37029.45856285095
ant_mop_r0_a1_1	114	0.0	0.0	4710.5	5000.0	1139999	2620.48	2620.48	-3.8213997	-2623.3591	865.6344	0.72473294	37363.21669149399
ant_mop_r0_a1_1	115	0.0	0.0	2670.0	5000.0	1149999	2633.7803	2633.78	-3.8233256	-2636.6409	917.8741	0.72955555	37694.12107992172
ant_mop_r0_a1_1	116	0.0	0.0	1722.5	5000.0	1159999	2647.0222	2647.0217	-3.8879192	-2649.9485	884.6739	0.72866595	38026.86356687546
ant_mop_r0_a1_1	117	0.0	0.0	1571.6666	5000.0	1169999	2659.6963	2659.6963	-3.969198	-2662.54	892.5452	0.732921	38358.36164021492
ant_mop_r0_a1_1	118	0.0	0.0	3369.0	5000.0	1179999	2672.8176	2672.817	-3.91338	-2675.6943	979.1582	0.72360516	38689.9070827961
ant_mop_r0_a1_1	119	0.0	0.0	1439.0	5000.0	1189999	2684.2178	2684.2173	-3.918659	-2687.048	936.5319	0.7306887	39022.23439049721
ant_mop_r0_a1_1	120	0.0	0.0	1089.7142	5000.0	1199999	2694.8223	2694.8237	-3.869451	-2697.6838	1026.3182	0.72826725	39355.80700492859
ant_mop_r0_a1_1	121	0.0	0.0	2463.75	5000.0	1209999	2705.0293	2705.029	-3.8561678	-2708.0017	961.5879	0.7250459	39700.895676374435
ant_mop_r0_a1_1	122	0.0	0.0	2424.4	5000.0	1219999	2713.3503	2713.3506	-3.758708	-2716.2449	1032.6741	0.7186299	40040.40939807892
ant_mop_r0_a1_1	123	0.0	0.0	2009.6	5000.0	1229999	2721.9165	2721.914	-3.8140602	-2724.8333	1072.4886	0.7210279	40376.76746249199
ant_mop_r0_a1_1	124	0.0	0.0	1640.2	5000.0	1239999	2729.708	2729.7107	-3.760159	-2732.6213	1042.0225	0.7215775	40710.30284357071
ant_mop_r0_a1_1	125	0.0	0.0	2024.3334	5000.0	1249999	2736.0498	2736.0515	-3.772462	-2738.922	1177.815	0.711647	41049.60764145851
ant_mop_r0_a1_1	126	0.0	0.0	2205.0	5000.0	1259999	2739.7883	2739.7874	-3.7923424	-2742.6477	1034.7949	0.71622396	41385.798204898834
ant_mop_r0_a1_1	127	0.0	0.0	1612.0	5000.0	1269999	2748.9675	2748.9668	-3.799655	-2751.9912	1089.9553	0.71835124	41715.73813557625
ant_mop_r0_a1_1	128	0.0	0.0	3636.0	5000.0	1279999	2757.1938	2757.193	-3.9029186	-2760.2163	956.6438	0.73041743	42053.65028214455
ant_mop_r0_a1_1	129	0.0	0.0	3173.6667	5000.0	1289999	2766.5825	2766.5825	-3.8537183	-2769.5415	1132.4526	0.72581804	42386.36200785637
ant_mop_r0_a1_1	130	0.0	0.0	1980.3334	5000.0	1299999	2773.0005	2772.999	-3.8199222	-2776.0598	1010.4376	0.7200548	42717.87244153023
